City,Lat,Long,Last Update Time,Confirmed,Revocered,Deaths
Makkah,21.427,39.820,,100,30,0
Jeddah,21.542,39.190,,200,100,0
Riyadh,24.654,46.720,,,,
Ad Dammām,26.434,50.110,,,,
Medina,24.469,39.620,,,,
Aţ Ţā’if,21.270,40.420,,,,
Al Hufūf,25.365,49.570,,,,
Al Ḩillah,23.489,46.850,,,,
Tabūk,28.400,36.580,,,,
Buraydah,26.326,43.975,,,,
Ḩā’il,27.522,41.700,,,,
Najrān,17.493,44.130,,,,
Al Qaţīf,26.521,50.000,,,,
Al Mubarraz,25.410,49.590,,,,
Al Kharj,24.155,47.340,,,,
Yanbu‘ al Baḩr,24.089,38.064,,,,
Ḩafar al Bāţin,28.433,45.971,,,,
Al Jubayl,27.011,49.658,,,,
‘Ar‘ar,30.975,41.038,,,,
Abhā,18.216,42.505,,,,
Jāzān,16.889,42.551,,,,
Dhahran,26.303,50.135,,,,
Qal‘at Bīshah,20.001,42.605,,,,
Rafḩā,29.634,43.519,,,,
Al Wajh,26.246,36.452,,,,
As Sulayyil,20.461,45.578,,,,
Dawmat al Jandal,29.808,39.870,,,,
Al Quway‘īyah,24.053,45.261,,,,
Al Qunfudhah,19.126,41.079,,,,
Sakākā,29.970,40.206,,,,
Al Bāḩah,20.013,41.468,,,,